#{"t_start": 1768871997.2884946, "env_id": "None"}
r,l,t
-600.0,600,21877.939793
-600.0,600,21884.183079
-600.0,600,22188.577302
-600.0,600,22246.150715
-600.0,600,22248.236333
-600.0,600,22269.364666
-600.0,600,22312.55691
-600.0,600,22377.076665
-600.0,600,22384.263326
-600.0,600,22390.554309
-600.0,600,22503.290011
-600.0,600,22560.859398
-600.0,600,22563.013116
-600.0,600,22583.906088
-600.0,600,22627.005354
-1503.0,504,22641.205018
-600.0,600,22698.824765
-600.0,600,22705.07902
-600.0,600,22816.870138
-600.0,600,22874.133038
-600.0,600,22876.21064
-600.0,600,22896.902198
-600.0,600,22939.533623
-600.0,600,22953.650614
-600.0,600,23011.218226
-600.0,600,23017.519726
-1006.0,7,23021.169258
-600.0,600,23129.538332
-600.0,600,23186.312132
-600.0,600,23188.440458
-600.0,600,23209.169291
-600.0,600,23251.553135
-600.0,600,23265.890702
-600.0,600,23323.332343
-600.0,600,23333.355768
-1439.0,440,23438.283603
-600.0,600,23441.38718
-45.0,46,23462.075622
-600.0,600,23498.838503
-600.0,600,23500.856489
-1510.0,511,23518.083481
-600.0,600,23578.539598
-600.0,600,23635.550471
-600.0,600,23645.430768
-600.0,600,23753.795117
-600.0,600,23774.674256
-600.0,600,23810.980118
-600.0,600,23813.101596
-1007.0,8,23815.170367
-600.0,600,23830.344726
-600.0,600,23890.763538
-600.0,600,23948.451818
-600.0,600,23958.389147
-600.0,600,24066.731091
-600.0,600,24087.097284
-600.0,600,24125.347667
-600.0,600,24127.408041
-600.0,600,24142.185916
-600.0,600,24202.303431
-600.0,600,24258.891092
-600.0,600,24268.584771
-600.0,600,24375.000211
-600.0,600,24395.571008
-1511.0,512,24405.421684
-600.0,600,24433.859074
-600.0,600,24436.007002
-600.0,600,24511.428478
-1545.0,546,24540.581765
-600.0,600,24578.991945
-600.0,600,24686.768038
-600.0,600,24898.100198
-600.0,600,24907.836009
-600.0,600,24936.985945
-600.0,600,24939.052121
-600.0,600,25015.584612
-600.0,600,25044.936592
-600.0,600,25082.911078
-600.0,600,25191.753712
-600.0,600,25212.729555
-600.0,600,25222.553253
-600.0,600,25251.262636
-600.0,600,25253.283971
-175.0,176,25283.619398
-156.0,157,25294.443244
-600.0,600,25328.615833
-600.0,600,25357.594826
-1221.0,222,25366.434149
-600.0,600,25395.581935
-600.0,600,25533.287362
-600.0,600,25563.609684
-600.0,600,25593.706562
-600.0,600,25604.646328
-600.0,600,25639.082561
-1041.0,42,25661.148506
-600.0,600,25668.580599
-600.0,600,25677.571566
-600.0,600,25706.625998
-1110.0,111,25718.745503
-600.0,600,25844.708103
-600.0,600,25875.708303
-1083.0,84,25888.683196
-600.0,600,25905.890664
-600.0,600,25916.853725
-1032.0,33,25923.142431
-1496.0,497,25964.994402
-600.0,600,25980.560994
-600.0,600,25989.519046
-600.0,600,26031.058183
-600.0,600,26187.920174
-600.0,600,26200.794682
-600.0,600,26229.143908
-600.0,600,26235.447879
-600.0,600,26276.924086
-600.0,600,26292.481846
-600.0,600,26301.437185
-600.0,600,26343.445187
-600.0,600,26500.443243
-600.0,600,26513.555463
-600.0,600,26541.890033
-600.0,600,26548.119014
-600.0,600,26589.386708
-600.0,600,26605.050588
-600.0,600,26613.960865
-600.0,600,26655.528048
-1183.0,184,26709.113468
-1247.0,248,26717.998113
-600.0,600,26812.09024
-600.0,600,26825.104772
-600.0,600,26853.131778
-600.0,600,26859.392725
-1398.0,399,26862.576142
-600.0,600,26916.605352
-1254.0,255,26985.55735
-600.0,600,27020.537884
-600.0,600,27029.404062
-600.0,600,27122.51153
-600.0,600,27135.238047
-600.0,600,27168.92499
-600.0,600,27172.031082
-600.0,600,27225.498284
-1197.0,198,27236.833957
-600.0,600,27293.883924
-600.0,600,27328.838568
-600.0,600,27337.715085
-1462.0,463,27410.656948
-600.0,600,27431.384346
-600.0,600,27670.063455
-1394.0,395,27724.94056
-600.0,600,27727.043385
-600.0,600,27738.194404
-600.0,600,27795.406317
-600.0,600,27838.946915
-1429.0,430,27844.452764
-600.0,600,27910.574726
-600.0,600,27976.710123
-600.0,600,28030.366403
-600.0,600,28032.333034
-600.0,600,28043.415292
-600.0,600,28099.604955
-600.0,600,28142.97134
-600.0,600,28148.465304
-600.0,600,28213.901771
-600.0,600,28280.251925
-600.0,600,28334.079429
-600.0,600,28336.115803
-600.0,600,28347.209637
-600.0,600,28403.394919
-600.0,600,28446.400038
-600.0,600,28451.994169
-600.0,600,28517.642171
-600.0,600,28584.136569
-600.0,600,28638.229089
-600.0,600,28640.302399
-600.0,600,28651.543342
-600.0,600,28707.426795
-600.0,600,28750.685253
-600.0,600,28756.277815
-600.0,600,28822.048929
-600.0,600,28887.84012
-600.0,600,28941.432775
-600.0,600,28943.451534
-600.0,600,28954.680815
-600.0,600,29011.011792
-600.0,600,29054.358027
-600.0,600,29059.927589
-600.0,600,29125.845988
-600.0,600,29191.747265
-1499.0,500,29194.638311
-600.0,600,29246.703349
-600.0,600,29257.509413
-1038.0,39,29265.913541
-1054.0,55,29293.350644
-600.0,600,29312.888435
-600.0,600,29356.119004
-600.0,600,29361.586349
-1080.0,81,29396.919594
-600.0,600,29427.401321
-600.0,600,29493.814559
-600.0,600,29496.67024
-1224.0,225,29540.62849
-600.0,600,29559.631157
-600.0,600,29596.021162
-600.0,600,29615.703296
-600.0,600,29664.206988
-600.0,600,29699.375741
-1237.0,238,29735.927752
-600.0,600,29795.874766
-600.0,600,29798.849173
-600.0,600,29843.145729
-600.0,600,29862.372911
-600.0,600,29898.545993
-600.0,600,29966.207895
-600.0,600,30000.948185
-600.0,600,30036.898226
-1079.0,80,30076.7912
-600.0,600,30096.344705
-600.0,600,30099.312896
-600.0,600,30143.3043
-600.0,600,30162.428702
-600.0,600,30390.311966
-600.0,600,30458.524172
-600.0,600,30494.438467
-600.0,600,30572.452924
-600.0,600,30592.409653
-600.0,600,30595.520306
-600.0,600,30640.039635
-1153.0,154,30650.67758
-600.0,600,30659.308195
-1062.0,63,30691.059024
-600.0,600,30695.731079
-600.0,600,30764.352573
-600.0,600,30799.591927
-600.0,600,30895.830206
-600.0,600,30898.92591
-600.0,600,30943.759829
-600.0,600,30954.548566
-600.0,600,30995.056568
-600.0,600,30999.645165
-1195.0,196,31042.885854
-600.0,600,31067.734177
-1363.0,364,31083.595807
-600.0,600,31103.452425
-600.0,600,31200.181847
-1493.0,494,31245.312587
-600.0,600,31258.850446
-1323.0,324,31268.409875
-600.0,600,31305.595697
-600.0,600,31350.773818
-600.0,600,31375.97826
